system:index,landcover,19-1_blue,19-2_blue,20-1_blue,20-2_blue,21-1_blue,21-2_blue,22-1_blue,22-2_blue,23-1_blue,23-2_blue
0000000000000000044f_0,0,0.0258,0.0367,0.0391,0.03255,0.03095,0.0276,0.08805,0.0314,0.0299,0.0196
00000000000000000108_0,0,0.07,0.0456,0.0392,0.0424999999999999,0.0428,0.04115,0.0378,0.0354,0.0946,0.0407
000000000000000004a8_0,0,0.0503,0.0596,0.0392,0.0428,0.0579,0.0528,0.0484,0.0431,0.1198,0.0317
00000000000000000015_0,0,0.03795,0.0358,0.0393,0.0282,0.0377,0.02575,0.03765,0.0446,0.03645,0.0327
000000000000000008ef_0,0,0.0431,0.0268,0.0393,0.0278,0.048,0.0314,0.03005,0.0287,0.0292,0.0254
00000000000000000078_0,0,0.037,0.0343,0.0394,0.0407,0.0461,0.04205,0.0152,0.01815,0.0559,0.0209
000000000000000000b6_0,0,0.0432,0.04195,0.0394,0.0439,0.04615,0.0445,0.052,0.03935,0.0929,0.0413
000000000000000008a9_0,0,0.04955,0.0342,0.0394,0.034,0.0488,0.03495,0.03545,0.0305,0.032,0.03665
000000000000000004ee_0,0,0.0406,0.03795,0.0395,0.0485,0.05365,0.03865,0.0522,0.0395,0.05025,0.0301
000000000000000008bb_0,0,0.0341,0.0366,0.0395,0.0365,0.0329,0.04205,0.0411,0.0331,0.0388,0.02835
00000000000000000861_0,0,0.0409,0.0345,0.0395999999999999,0.0369,0.0291,0.0409,0.04045,0.0359,0.0256999999999999,0.0368
0000000000000000001c_0,0,0.0543,0.0282,0.0396,0.03485,0.03895,0.0275,0.0383,0.0309,0.03225,0.0267
0000000000000000008a_0,0,0.0684,0.0533,0.0396,0.0401,0.0656,0.0383,0.0398,0.0408,0.0674,0.0279
