system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
000000000000000000e1_0,0.22515000000000000,0.20880000000000000,0,0.27055,0.2046,0.2787,0.26170000000000000
000000000000000000e2_0,0.03365,0.0532,0,0.21895000000000000,0.053250000000000000,0.1827,0.108
000000000000000000e3_0,0.05835,0.083,0,0.0208,0.057800000000000000,0.0132,0.0114
000000000000000000e5_0,0.19975,0.18995,0,0.29055,0.173,0.31145,0.2916
000000000000000000e6_0,0.0558,0.0816,0,0.25570000000000000,0.08170000000000000,0.2489,0.159
000000000000000000eb_0,0.06915,0.07600000000000000,0,0.1678,0.0672,0.13215000000000000,0.1082
000000000000000000ec_0,0.10720000000000000,0.1801,0,0.3345,0.2903,0.47440000000000000,0.3198
000000000000000000ee_0,0.07930000000000000,0.09415000000000000,0,0.2524,0.1057,0.2536,0.17695
000000000000000000f2_0,0.08070000000000000,0.0905,0,0.24205000000000000,0.07335,0.1307,0.06475
000000000000000000f3_0,0.0669,0.06985,0,0.2213,0.04295,0.12585000000000000,0.05695
000000000000000000f5_0,0.06805,0.08955,0,0.2946,0.08425,0.27885000000000000,0.1739
000000000000000000f7_0,0.1063,0.1263,0,0.36260000000000000,0.10360000000000000,0.2199,0.1237
000000000000000000f8_0,0.052450000000000000,0.0753,0,0.1377,0.07655,0.115,0.08635000000000000
000000000000000000f9_0,0.07450000000000000,0.09105000000000000,0,0.029200000000000000,0.057,0.01015,0.0061
000000000000000000fb_0,0.1048,0.1184,0,0.1194,0.10740000000000000,0.0752,0.055200000000000000
000000000000000000fc_0,0.03885,0.05745,0,0.28155,0.05545,0.21945000000000000,0.13995000000000000
000000000000000000fe_0,0.0145,0.0504,0,0.0076,0.021400000000000000,0.0057,0.0054
000000000000000000ff_0,0.07475000000000000,0.09855,0,0.23775000000000000,0.07785,0.20340000000000000,0.12565
00000000000000000103_0,0.060050000000000000,0.0736,0,0.1874,0.07625000000000000,0.19715,0.1169
00000000000000000107_0,0.12845,0.15350000000000000,0,0.04290000000000000,0.12110000000000000,0.01615,0.01115
00000000000000000108_0,0.12760000000000000,0.1647,0,0.2782,0.1927,0.3024,0.2427
0000000000000000010a_0,0.09190000000000000,0.1203,0,0.2706,0.12085000000000000,0.19445,0.1282
0000000000000000010b_0,0.0492,0.075,0,0.07350000000000000,0.0476,0.061200000000000000,0.0451
0000000000000000010d_0,0.07235,0.10025,0,0.2541,0.11200000000000000,0.2691,0.18835000000000000
